task, acc, acc_max, train_loss, val_loss
Adiac, 0.83, 0.83, 1.54, 1.31
ArrowHead, 0.84, 0.89, 0.47, 0.60
Beef, 0.57, 0.60, 1.22, 1.27
BeetleFly, 0.85, 1.00, 0.29, 0.38
BirdChicken, 0.80, 0.95, 0.25, 0.55
Car, 0.85, 0.85, 0.58, 0.74
CBF, 0.99, 1.00, 0.44, 0.37
ChlorineConcentration, 0.77, 0.77, 0.61, 0.70
CinCECGTorso, 0.65, 0.68, 0.64, 1.06
Coffee, 1.00, 1.00, 0.33, 0.21
Computers, 0.73, 0.75, 0.39, 0.63
CricketX, 0.75, 0.76, 0.89, 1.19
CricketY, 0.75, 0.75, 0.91, 1.17
CricketZ, 0.78, 0.79, 0.90, 1.12
DiatomSizeReduction, 0.98, 0.98, 0.45, 0.43
DistalPhalanxOutlineAgeGroup, 0.75, 0.78, 0.51, 0.72
DistalPhalanxOutlineCorrect, 0.79, 0.79, 0.34, 0.54
DistalPhalanxTW, 0.68, 0.70, 0.71, 1.13
Earthquakes, 0.75, 0.75, 0.28, 0.67
ECG200, 0.85, 0.89, 0.30, 0.42
ECG5000, 0.94, 0.95, 0.52, 0.54
ECGFiveDays, 1.00, 1.00, 0.25, 0.20
ElectricDevices, 0.71, 0.73, 0.71, 1.20
FaceAll, 0.78, 0.84, 0.86, 1.11
FaceFour, 0.94, 0.94, 0.56, 0.61
FacesUCR, 0.92, 0.92, 0.92, 0.88
FiftyWords, 0.73, 0.74, 1.28, 1.64
Fish, 0.96, 0.98, 0.80, 0.62
FordA, 0.95, 0.96, 0.31, 0.28
FordB, 0.85, 0.85, 0.30, 0.42
GunPoint, 0.99, 1.00, 0.30, 0.23
Ham, 0.79, 0.80, 0.32, 0.53
HandOutlines, 0.94, 0.94, 0.40, 0.34
Haptics, 0.44, 0.45, 0.99, 1.65
Herring, 0.59, 0.66, 0.48, 0.72
InlineSkate, 0.41, 0.41, 1.38, 1.71
InsectWingbeatSound, 0.54, 0.55, 1.14, 1.51
ItalyPowerDemand, 0.97, 0.97, 0.30, 0.27
LargeKitchenAppliances, 0.87, 0.88, 0.46, 0.59
Lightning2, 0.85, 0.89, 0.34, 0.42
Lightning7, 0.71, 0.79, 0.78, 1.03
Mallat, 0.97, 0.97, 0.79, 0.58
Meat, 0.90, 0.93, 0.68, 0.54
MedicalImages, 0.74, 0.74, 0.85, 1.08
MiddlePhalanxOutlineAgeGroup, 0.50, 0.66, 0.55, 1.11
MiddlePhalanxOutlineCorrect, 0.81, 0.84, 0.37, 0.48
MiddlePhalanxTW, 0.53, 0.61, 1.02, 1.32
MoteStrain, 0.86, 0.87, 0.29, 0.41
NonInvasiveFetalECGThorax1, 0.93, 0.93, 1.21, 0.94
NonInvasiveFetalECGThorax2, 0.92, 0.92, 1.16, 0.91
OliveOil, 0.40, 0.67, 1.37, 1.22
OSULeaf, 0.86, 0.87, 0.75, 0.78
PhalangesOutlinesCorrect, 0.82, 0.83, 0.32, 0.47
Phoneme, 0.20, 0.21, 1.36, 3.30
Plane, 1.00, 1.00, 0.70, 0.46
ProximalPhalanxOutlineAgeGroup, 0.84, 0.87, 0.56, 0.57
ProximalPhalanxOutlineCorrect, 0.91, 0.91, 0.36, 0.35
ProximalPhalanxTW, 0.82, 0.84, 0.76, 0.82
RefrigerationDevices, 0.53, 0.57, 0.47, 1.12
ScreenType, 0.44, 0.48, 0.55, 1.32
ShapeletSim, 0.99, 1.00, 0.29, 0.31
ShapesAll, 0.85, 0.85, 1.46, 1.34
SmallKitchenAppliances, 0.73, 0.75, 0.59, 0.79
SonyAIBORobotSurface1, 0.90, 0.96, 0.27, 0.40
SonyAIBORobotSurface2, 0.88, 0.90, 0.28, 0.37
StarLightCurves, 0.98, 0.98, 0.43, 0.35
Strawberry, 0.97, 0.97, 0.31, 0.27
SwedishLeaf, 0.96, 0.96, 0.93, 0.73
Symbols, 0.97, 0.97, 0.74, 0.53
SyntheticControl, 0.99, 1.00, 0.63, 0.48
ToeSegmentation1, 0.96, 0.96, 0.30, 0.27
ToeSegmentation2, 0.92, 0.96, 0.29, 0.34
Trace, 1.00, 1.00, 0.53, 0.35
TwoLeadECG, 1.00, 1.00, 0.27, 0.21
TwoPatterns, 1.00, 1.00, 0.51, 0.35
UWaveGestureLibraryAll, 0.92, 0.93, 0.75, 0.71
UWaveGestureLibraryX, 0.82, 0.82, 0.82, 0.90
UWaveGestureLibraryY, 0.74, 0.74, 0.82, 1.07
UWaveGestureLibraryZ, 0.75, 0.75, 0.82, 1.03
Wafer, 1.00, 1.00, 0.23, 0.20
Wine, 0.56, 0.61, 0.75, 0.69
WordSynonyms, 0.63, 0.63, 1.13, 1.72
Worms, 0.75, 0.78, 0.66, 0.91
WormsTwoClass, 0.81, 0.84, 0.34, 0.56
Yoga, 0.88, 0.88, 0.36, 0.41
ACSF1, 0.72, 0.75, 1.29, 1.07
BME, 1.00, 1.00, 0.43, 0.32
EthanolLevel, 0.61, 0.62, 0.99, 0.95
FreezerRegularTrain, 1.00, 1.00, 0.30, 0.21
FreezerSmallTrain, 0.95, 0.96, 0.36, 0.30
GunPointAgeSpan, 0.99, 0.99, 0.36, 0.24
GunPointMaleVersusFemale, 1.00, 1.00, 0.30, 0.20
GunPointOldVersusYoung, 1.00, 1.00, 0.28, 0.20
InsectEPGRegularTrain, 1.00, 1.00, 0.51, 0.33
InsectEPGSmallTrain, 0.63, 1.00, 0.58, 0.94
PigAirwayPressure, 0.17, 0.17, 2.72, 3.63
PigArtPressure, 0.20, 0.21, 1.91, 3.68
PigCVP, 0.39, 0.39, 2.55, 3.02
PowerCons, 1.00, 1.00, 0.29, 0.24
SmoothSubspace, 0.98, 0.98, 0.44, 0.40
UMD, 0.99, 0.99, 0.44, 0.34
Fungi, 0.98, 0.98, 1.12, 0.70
HouseTwenty, 0.87, 0.94, 0.29, 0.39
SemgHandGenderCh2, 0.84, 0.86, 0.38, 0.43
SemgHandMovementCh2, 0.50, 0.55, 0.78, 1.37
SemgHandSubjectCh2, 0.66, 0.66, 0.72, 1.05
